id,komentar,label
91,Panitia kegiatan sangat profesional,positif
92,Sangat puas dengan kegiatan ini,positif
93,Panitia kegiatan sangat profesional,positif
94,Program kerja BEM sangat bagus,positif
95,UKM kampus sangat aktif,positif
96,Kegiatan BEM sangat bermanfaat,positif
97,Program kerja BEM sangat bagus,positif
98,UKM kampus sangat aktif,positif
99,Kegiatan BEM sangat bermanfaat,positif
100,Acara ORMAWA kemarin seru sekali,positif
101,ORMAWA sangat inspiratif,positif
102,Panitia kegiatan sangat profesional,positif
103,Kegiatan BEM sangat bermanfaat,positif
104,Panitia kegiatan sangat profesional,positif
105,Sangat puas dengan kegiatan ini,positif
106,Acara ORMAWA kemarin seru sekali,positif
107,Panitia kegiatan sangat profesional,positif
108,Sangat puas dengan kegiatan ini,positif
109,Sangat puas dengan kegiatan ini,positif
110,Acara kampus sangat terorganisir,positif
111,Sangat puas dengan kegiatan ini,positif
112,Sangat puas dengan kegiatan ini,positif
113,Program kerja BEM sangat bagus,positif
114,Kegiatan BEM sangat bermanfaat,positif
115,Acara kampus sangat terorganisir,positif
116,Kegiatan ini menambah wawasan saya,positif
117,Kegiatan BEM sangat bermanfaat,positif
118,Kegiatan BEM sangat bermanfaat,positif
119,Program kerja BEM sangat bagus,positif
120,HIMA sangat membantu mahasiswa,positif
121,Program kerja BEM sangat bagus,positif
122,Kegiatan ini menambah wawasan saya,positif
123,Sangat puas dengan kegiatan ini,positif
124,Panitia kegiatan sangat profesional,positif
125,Kegiatan ini menambah wawasan saya,positif
126,HIMA sangat membantu mahasiswa,positif
127,Panitia kegiatan sangat profesional,positif
128,Program kerja BEM sangat bagus,positif
129,Kegiatan ini menambah wawasan saya,positif
130,ORMAWA sangat inspiratif,positif
131,UKM kampus sangat aktif,positif
132,HIMA sangat membantu mahasiswa,positif
133,Acara ORMAWA kemarin seru sekali,positif
134,HIMA sangat membantu mahasiswa,positif
135,Program kerja BEM sangat bagus,positif
136,Sangat puas dengan kegiatan ini,positif
137,Kegiatan ini menambah wawasan saya,positif
138,Program kerja BEM sangat bagus,positif
139,Program kerja BEM sangat bagus,positif
140,Acara ORMAWA kemarin seru sekali,positif
141,UKM kampus sangat aktif,positif
142,Acara ORMAWA kemarin seru sekali,positif
143,Acara ORMAWA kemarin seru sekali,positif
144,HIMA sangat membantu mahasiswa,positif
145,Sangat puas dengan kegiatan ini,positif
146,Kegiatan ini menambah wawasan saya,positif
147,Program kerja BEM sangat bagus,positif
148,Sangat puas dengan kegiatan ini,positif
149,HIMA sangat membantu mahasiswa,positif
150,Kegiatan BEM sangat bermanfaat,positif
151,Kegiatan BEM sangat bermanfaat,positif
152,Program kerja BEM sangat bagus,positif
153,UKM kampus sangat aktif,positif
154,ORMAWA sangat inspiratif,positif
155,Kegiatan ini menambah wawasan saya,positif
156,Program kerja BEM sangat bagus,positif
157,ORMAWA sangat inspiratif,positif
158,Acara ORMAWA kemarin seru sekali,positif
159,HIMA sangat membantu mahasiswa,positif
160,Acara kampus sangat terorganisir,positif
161,Acara kampus sangat terorganisir,positif
162,Acara ORMAWA kemarin seru sekali,positif
163,Kegiatan BEM sangat bermanfaat,positif
164,ORMAWA sangat inspiratif,positif
165,Acara ORMAWA kemarin seru sekali,positif
166,Acara kampus sangat terorganisir,positif
167,Program kerja BEM sangat bagus,positif
168,Acara kampus sangat terorganisir,positif
169,Panitia kegiatan sangat profesional,positif
170,Acara ORMAWA kemarin seru sekali,positif
171,ORMAWA sangat inspiratif,positif
172,Acara ORMAWA kemarin seru sekali,positif
173,Panitia kegiatan sangat profesional,positif
174,Program kerja BEM sangat bagus,positif
175,Acara kampus sangat terorganisir,positif
176,ORMAWA sangat inspiratif,positif
177,Program kerja BEM sangat bagus,positif
178,Kegiatan ini menambah wawasan saya,positif
179,Acara ORMAWA kemarin seru sekali,positif
180,Acara kampus sangat terorganisir,positif
181,Sangat puas dengan kegiatan ini,positif
182,UKM kampus sangat aktif,positif
183,UKM kampus sangat aktif,positif
184,Acara ORMAWA kemarin seru sekali,positif
185,Panitia kegiatan sangat profesional,positif
186,ORMAWA sangat inspiratif,positif
187,Panitia kegiatan sangat profesional,positif
188,UKM kampus sangat aktif,positif
189,UKM kampus sangat aktif,positif
190,UKM kampus sangat aktif,positif
191,Program kerja BEM sangat bagus,positif
192,Acara ORMAWA kemarin seru sekali,positif
193,Sangat puas dengan kegiatan ini,positif
194,ORMAWA sangat inspiratif,positif
195,Panitia kegiatan sangat profesional,positif
196,Acara ORMAWA kemarin seru sekali,positif
197,UKM kampus sangat aktif,positif
198,Acara ORMAWA kemarin seru sekali,positif
199,Sangat puas dengan kegiatan ini,positif
200,Acara kampus sangat terorganisir,positif
201,Sangat puas dengan kegiatan ini,positif
202,Kegiatan ini menambah wawasan saya,positif
203,Kegiatan BEM sangat bermanfaat,positif
204,Sangat puas dengan kegiatan ini,positif
205,Kegiatan BEM sangat bermanfaat,positif
206,Acara kampus sangat terorganisir,positif
207,Panitia kegiatan sangat profesional,positif
208,Kegiatan ini menambah wawasan saya,positif
209,Sangat puas dengan kegiatan ini,positif
210,HIMA sangat membantu mahasiswa,positif
211,Kegiatan BEM sangat bermanfaat,positif
212,Sangat puas dengan kegiatan ini,positif
213,UKM kampus sangat aktif,positif
214,Panitia kegiatan sangat profesional,positif
215,Panitia kegiatan sangat profesional,positif
216,Kegiatan ini menambah wawasan saya,positif
217,Acara ORMAWA kemarin seru sekali,positif
218,ORMAWA sangat inspiratif,positif
219,Program kerja BEM sangat bagus,positif
220,Kegiatan ini menambah wawasan saya,positif
221,Program kerja BEM sangat bagus,positif
222,HIMA sangat membantu mahasiswa,positif
223,HIMA sangat membantu mahasiswa,positif
224,HIMA sangat membantu mahasiswa,positif
225,Acara ORMAWA kemarin seru sekali,positif
226,Kegiatan ini menambah wawasan saya,positif
227,Program kerja BEM sangat bagus,positif
228,ORMAWA sangat inspiratif,positif
229,Program kerja BEM sangat bagus,positif
230,Kegiatan ini menambah wawasan saya,positif
231,Program kerja BEM sangat bagus,positif
232,UKM kampus sangat aktif,positif
233,Sangat puas dengan kegiatan ini,positif
234,Kegiatan ini menambah wawasan saya,positif
235,Panitia kegiatan sangat profesional,positif
236,Kegiatan ini menambah wawasan saya,positif
237,Sangat puas dengan kegiatan ini,positif
238,Kegiatan BEM sangat bermanfaat,positif
239,Acara ORMAWA kemarin seru sekali,positif
240,Kegiatan ini menambah wawasan saya,positif
241,Panitia kegiatan sangat profesional,positif
242,Sangat puas dengan kegiatan ini,positif
243,HIMA sangat membantu mahasiswa,positif
244,ORMAWA sangat inspiratif,positif
245,Program kerja BEM sangat bagus,positif
246,HIMA sangat membantu mahasiswa,positif
247,Panitia kegiatan sangat profesional,positif
248,Panitia kegiatan sangat profesional,positif
249,UKM kampus sangat aktif,positif
250,Kegiatan BEM sangat bermanfaat,positif
251,Acara kampus sangat terorganisir,positif
252,Panitia kegiatan sangat profesional,positif
253,HIMA sangat membantu mahasiswa,positif
254,Program kerja BEM sangat bagus,positif
255,Program kerja BEM sangat bagus,positif
256,Sangat puas dengan kegiatan ini,positif
257,Acara kampus sangat terorganisir,positif
258,Acara ORMAWA kemarin seru sekali,positif
259,UKM kampus sangat aktif,positif
260,HIMA sangat membantu mahasiswa,positif
261,HIMA sangat membantu mahasiswa,positif
262,HIMA sangat membantu mahasiswa,positif
263,ORMAWA sangat inspiratif,positif
264,UKM kampus sangat aktif,positif
265,ORMAWA sangat inspiratif,positif
266,Panitia kegiatan sangat profesional,positif
267,Kegiatan BEM sangat bermanfaat,positif
268,UKM kampus sangat aktif,positif
269,Sangat puas dengan kegiatan ini,positif
270,UKM kampus sangat aktif,positif
271,Panitia kegiatan sangat profesional,positif
272,Program kerja BEM sangat bagus,positif
273,Panitia kegiatan sangat profesional,positif
274,HIMA sangat membantu mahasiswa,positif
275,Kegiatan ini menambah wawasan saya,positif
276,Panitia kegiatan sangat profesional,positif
277,UKM kampus sangat aktif,positif
278,UKM kampus sangat aktif,positif
279,Panitia kegiatan sangat profesional,positif
280,Kegiatan ini menambah wawasan saya,positif
281,UKM kampus sangat aktif,positif
282,Acara kampus sangat terorganisir,positif
283,Kegiatan ini menambah wawasan saya,positif
284,UKM kampus sangat aktif,positif
285,Panitia kegiatan sangat profesional,positif
286,ORMAWA sangat inspiratif,positif
287,HIMA sangat membantu mahasiswa,positif
288,Sangat puas dengan kegiatan ini,positif
289,Kegiatan ini menambah wawasan saya,positif
290,ORMAWA sangat inspiratif,positif
291,Sangat puas dengan kegiatan ini,positif
292,Sangat puas dengan kegiatan ini,positif
293,Sangat puas dengan kegiatan ini,positif
294,HIMA sangat membantu mahasiswa,positif
295,Panitia kegiatan sangat profesional,positif
296,Kegiatan ini menambah wawasan saya,positif
297,Program kerja BEM sangat bagus,positif
298,HIMA sangat membantu mahasiswa,positif
299,Acara ORMAWA kemarin seru sekali,positif
300,Kegiatan BEM sangat bermanfaat,positif
301,UKM kampus sangat aktif,positif
302,Acara ORMAWA kemarin seru sekali,positif
303,Panitia kegiatan sangat profesional,positif
304,Acara ORMAWA kemarin seru sekali,positif
305,Panitia kegiatan sangat profesional,positif
306,Panitia kegiatan sangat profesional,positif
307,Acara kampus sangat terorganisir,positif
308,Panitia kegiatan sangat profesional,positif
309,ORMAWA sangat inspiratif,positif
310,Program kerja BEM sangat bagus,positif
311,Sangat puas dengan kegiatan ini,positif
312,UKM kampus sangat aktif,positif
313,HIMA sangat membantu mahasiswa,positif
314,ORMAWA sangat inspiratif,positif
315,Acara ORMAWA kemarin seru sekali,positif
316,Acara kampus sangat terorganisir,positif
317,Acara kampus sangat terorganisir,positif
318,ORMAWA sangat inspiratif,positif
319,Acara kampus sangat terorganisir,positif
320,Program kerja BEM sangat bagus,positif
321,ORMAWA sangat inspiratif,positif
322,Acara ORMAWA kemarin seru sekali,positif
323,UKM kampus sangat aktif,positif
324,Acara ORMAWA kemarin seru sekali,positif
325,UKM kampus sangat aktif,positif
326,Sangat puas dengan kegiatan ini,positif
327,Acara kampus sangat terorganisir,positif
328,Panitia kegiatan sangat profesional,positif
329,Sangat puas dengan kegiatan ini,positif
330,Program kerja BEM sangat bagus,positif
331,Program kerja BEM sangat bagus,positif
332,Program kerja BEM sangat bagus,positif
333,Kegiatan BEM sangat bermanfaat,positif
334,ORMAWA sangat inspiratif,positif
335,Sangat puas dengan kegiatan ini,positif
336,Kegiatan BEM sangat bermanfaat,positif
337,Kegiatan ini menambah wawasan saya,positif
338,Program kerja BEM sangat bagus,positif
339,Panitia kegiatan sangat profesional,positif
340,Panitia kegiatan sangat profesional,positif
341,Kegiatan BEM sangat bermanfaat,positif
342,Sangat puas dengan kegiatan ini,positif
343,ORMAWA sangat inspiratif,positif
344,ORMAWA sangat inspiratif,positif
345,Acara kampus sangat terorganisir,positif
346,Kegiatan ini menambah wawasan saya,positif
347,Acara ORMAWA kemarin seru sekali,positif
348,HIMA sangat membantu mahasiswa,positif
349,Kegiatan ini menambah wawasan saya,positif
350,Kegiatan ini menambah wawasan saya,positif
351,ORMAWA sangat inspiratif,positif
352,UKM kampus sangat aktif,positif
353,Acara ORMAWA kemarin seru sekali,positif
354,Sangat puas dengan kegiatan ini,positif
355,Kegiatan BEM sangat bermanfaat,positif
356,Acara kampus sangat terorganisir,positif
357,Acara kampus sangat terorganisir,positif
358,Acara kampus sangat terorganisir,positif
359,HIMA sangat membantu mahasiswa,positif
360,Panitia kegiatan sangat profesional,positif
361,Kegiatan ini menambah wawasan saya,positif
362,Acara ORMAWA kemarin seru sekali,positif
363,Kegiatan BEM sangat bermanfaat,positif
364,Acara ORMAWA kemarin seru sekali,positif
365,Acara ORMAWA kemarin seru sekali,positif
366,Acara kampus sangat terorganisir,positif
367,ORMAWA sangat inspiratif,positif
368,Acara ORMAWA kemarin seru sekali,positif
369,HIMA sangat membantu mahasiswa,positif
370,Sangat puas dengan kegiatan ini,positif
371,Program kerja BEM sangat bagus,positif
372,UKM kampus sangat aktif,positif
373,Kegiatan BEM sangat bermanfaat,positif
374,ORMAWA sangat inspiratif,positif
375,ORMAWA sangat inspiratif,positif
376,Acara ORMAWA kemarin seru sekali,positif
377,Acara ORMAWA kemarin seru sekali,positif
378,Kegiatan BEM sangat bermanfaat,positif
379,Kegiatan ini menambah wawasan saya,positif
380,Acara ORMAWA kemarin seru sekali,positif
381,HIMA sangat membantu mahasiswa,positif
382,HIMA sangat membantu mahasiswa,positif
383,UKM kampus sangat aktif,positif
384,Sangat puas dengan kegiatan ini,positif
385,Panitia kegiatan sangat profesional,positif
386,ORMAWA sangat inspiratif,positif
387,Program kerja BEM sangat bagus,positif
388,Program kerja BEM sangat bagus,positif
389,HIMA sangat membantu mahasiswa,positif
390,Program kerja BEM sangat bagus,positif
391,Sangat puas dengan kegiatan ini,positif
392,Acara kampus sangat terorganisir,positif
393,Acara ORMAWA kemarin seru sekali,positif
394,UKM kampus sangat aktif,positif
395,ORMAWA sangat inspiratif,positif
396,Acara kampus sangat terorganisir,positif
397,Sangat puas dengan kegiatan ini,positif
398,Kegiatan ini menambah wawasan saya,positif
399,Acara ORMAWA kemarin seru sekali,positif
400,Program kerja BEM sangat bagus,positif
401,Sangat puas dengan kegiatan ini,positif
402,Acara kampus sangat terorganisir,positif
403,Acara kampus sangat terorganisir,positif
404,Acara ORMAWA kemarin seru sekali,positif
405,Kegiatan BEM sangat bermanfaat,positif
406,UKM kampus sangat aktif,positif
407,HIMA sangat membantu mahasiswa,positif
408,Acara kampus sangat terorganisir,positif
409,HIMA sangat membantu mahasiswa,positif
410,Kegiatan ini menambah wawasan saya,positif
411,ORMAWA sangat inspiratif,positif
412,ORMAWA sangat inspiratif,positif
413,HIMA sangat membantu mahasiswa,positif
414,Sangat puas dengan kegiatan ini,positif
415,Acara kampus sangat terorganisir,positif
416,Sangat puas dengan kegiatan ini,positif
417,ORMAWA sangat inspiratif,positif
418,HIMA sangat membantu mahasiswa,positif
419,Acara kampus sangat terorganisir,positif
420,Kegiatan BEM sangat bermanfaat,positif
421,HIMA sangat membantu mahasiswa,positif
422,Kegiatan BEM sangat bermanfaat,positif
423,Panitia kegiatan sangat profesional,positif
424,Program kerja BEM sangat bagus,positif
425,Acara ORMAWA kemarin seru sekali,positif
426,Sangat puas dengan kegiatan ini,positif
427,Panitia kegiatan sangat profesional,positif
428,Acara ORMAWA kemarin seru sekali,positif
429,UKM kampus sangat aktif,positif
430,Acara kampus sangat terorganisir,positif
431,ORMAWA sangat inspiratif,positif
432,HIMA sangat membantu mahasiswa,positif
433,Acara kampus sangat terorganisir,positif
434,Acara ORMAWA kemarin seru sekali,positif
435,ORMAWA sangat inspiratif,positif
436,Kegiatan BEM sangat bermanfaat,positif
437,Kegiatan ini menambah wawasan saya,positif
438,ORMAWA sangat inspiratif,positif
439,HIMA sangat membantu mahasiswa,positif
440,Kegiatan ini menambah wawasan saya,positif
441,Kegiatan ini menambah wawasan saya,positif
442,Sangat puas dengan kegiatan ini,positif
443,Acara kampus sangat terorganisir,positif
444,Panitia kegiatan sangat profesional,positif
445,Acara ORMAWA kemarin seru sekali,positif
446,Kegiatan BEM sangat bermanfaat,positif
447,Program kerja BEM sangat bagus,positif
448,Panitia kegiatan sangat profesional,positif
449,UKM kampus sangat aktif,positif
450,UKM kampus sangat aktif,positif
451,Kegiatan ini menambah wawasan saya,positif
452,Kegiatan ini menambah wawasan saya,positif
453,Acara ORMAWA kemarin seru sekali,positif
454,UKM kampus sangat aktif,positif
455,Kegiatan ini menambah wawasan saya,positif
456,Sangat puas dengan kegiatan ini,positif
457,Kegiatan BEM sangat bermanfaat,positif
458,UKM kampus sangat aktif,positif
459,HIMA sangat membantu mahasiswa,positif
460,UKM kampus sangat aktif,positif
461,Program kerja BEM sangat bagus,positif
462,Kegiatan BEM sangat bermanfaat,positif
463,Program kerja BEM sangat bagus,positif
464,Panitia kegiatan sangat profesional,positif
465,Kegiatan ini menambah wawasan saya,positif
466,UKM kampus sangat aktif,positif
467,Acara ORMAWA kemarin seru sekali,positif
468,Kegiatan ini menambah wawasan saya,positif
469,Panitia kegiatan sangat profesional,positif
470,ORMAWA sangat inspiratif,positif
471,Acara ORMAWA kemarin seru sekali,positif
472,ORMAWA sangat inspiratif,positif
473,ORMAWA sangat inspiratif,positif
474,ORMAWA sangat inspiratif,positif
475,Kegiatan BEM sangat bermanfaat,positif
476,Acara kampus sangat terorganisir,positif
477,Acara kampus sangat terorganisir,positif
478,Acara ORMAWA kemarin seru sekali,positif
479,HIMA sangat membantu mahasiswa,positif
480,Sangat puas dengan kegiatan ini,positif
481,HIMA sangat membantu mahasiswa,positif
482,Kegiatan ini menambah wawasan saya,positif
483,ORMAWA sangat inspiratif,positif
484,HIMA sangat membantu mahasiswa,positif
485,Kegiatan BEM sangat bermanfaat,positif
486,Panitia kegiatan sangat profesional,positif
487,Acara ORMAWA kemarin seru sekali,positif
488,Sangat puas dengan kegiatan ini,positif
489,ORMAWA sangat inspiratif,positif
490,ORMAWA sangat inspiratif,positif
491,UKM kampus sangat aktif,positif
492,Program kerja BEM sangat bagus,positif
493,Acara kampus sangat terorganisir,positif
494,HIMA sangat membantu mahasiswa,positif
495,Kegiatan BEM sangat bermanfaat,positif
496,Panitia kegiatan sangat profesional,positif
497,Kegiatan BEM sangat bermanfaat,positif
498,HIMA sangat membantu mahasiswa,positif
499,Kegiatan BEM sangat bermanfaat,positif
500,Acara kampus sangat terorganisir,positif
501,Kegiatan ini menambah wawasan saya,positif
502,Kegiatan BEM sangat bermanfaat,positif
503,Panitia kegiatan sangat profesional,positif
504,Acara ORMAWA kemarin seru sekali,positif
505,UKM kampus sangat aktif,positif
506,UKM kampus sangat aktif,positif
507,UKM kampus sangat aktif,positif
508,Program kerja BEM sangat bagus,positif
509,UKM kampus sangat aktif,positif
510,Program kerja BEM sangat bagus,positif
511,HIMA sangat membantu mahasiswa,positif
512,Kegiatan BEM sangat bermanfaat,positif
513,HIMA sangat membantu mahasiswa,positif
514,Sangat puas dengan kegiatan ini,positif
515,Kegiatan BEM sangat bermanfaat,positif
516,ORMAWA sangat inspiratif,positif
517,Acara kampus sangat terorganisir,positif
518,UKM kampus sangat aktif,positif
519,Kegiatan BEM sangat bermanfaat,positif
520,UKM kampus sangat aktif,positif
521,Panitia kegiatan sangat profesional,positif
522,Program kerja BEM sangat bagus,positif
523,Sangat puas dengan kegiatan ini,positif
524,Acara ORMAWA kemarin seru sekali,positif
525,HIMA sangat membantu mahasiswa,positif
526,Kegiatan ini menambah wawasan saya,positif
527,Panitia kegiatan sangat profesional,positif
528,HIMA sangat membantu mahasiswa,positif
529,Acara ORMAWA kemarin seru sekali,positif
530,Kegiatan BEM sangat bermanfaat,positif
531,Program kerja BEM sangat bagus,positif
532,Panitia kegiatan sangat profesional,positif
533,Kegiatan ini menambah wawasan saya,positif
534,Acara kampus sangat terorganisir,positif
535,UKM kampus sangat aktif,positif
536,Acara kampus sangat terorganisir,positif
537,Acara kampus sangat terorganisir,positif
538,Kegiatan ini menambah wawasan saya,positif
539,Program kerja BEM sangat bagus,positif
540,Program kerja BEM sangat bagus,positif
541,UKM kampus sangat aktif,positif
542,UKM kampus sangat aktif,positif
543,Kegiatan ini menambah wawasan saya,positif
544,Kegiatan ini menambah wawasan saya,positif
545,Panitia kegiatan sangat profesional,positif
546,HIMA sangat membantu mahasiswa,positif
547,Sangat puas dengan kegiatan ini,positif
548,UKM kampus sangat aktif,positif
549,ORMAWA sangat inspiratif,positif
550,Panitia kegiatan sangat profesional,positif
551,Program kerja BEM sangat bagus,positif
552,Sangat puas dengan kegiatan ini,positif
553,Kegiatan BEM sangat bermanfaat,positif
554,Panitia kegiatan sangat profesional,positif
555,Acara kampus sangat terorganisir,positif
556,Program kerja BEM sangat bagus,positif
557,UKM kampus sangat aktif,positif
558,Program kerja BEM sangat bagus,positif
559,ORMAWA sangat inspiratif,positif
560,Sangat puas dengan kegiatan ini,positif
561,Acara ORMAWA kemarin seru sekali,positif
562,Kegiatan ini menambah wawasan saya,positif
563,Program kerja BEM sangat bagus,positif
564,Acara kampus sangat terorganisir,positif
565,Acara ORMAWA kemarin seru sekali,positif
566,Program kerja BEM sangat bagus,positif
567,Sangat puas dengan kegiatan ini,positif
568,ORMAWA sangat inspiratif,positif
569,ORMAWA sangat inspiratif,positif
570,Panitia kegiatan sangat profesional,positif
571,Acara kampus sangat terorganisir,positif
572,Acara kampus sangat terorganisir,positif
573,ORMAWA sangat inspiratif,positif
574,Kegiatan ini menambah wawasan saya,positif
575,Panitia kegiatan sangat profesional,positif
576,Sangat puas dengan kegiatan ini,positif
577,Kegiatan BEM sangat bermanfaat,positif
578,Sangat puas dengan kegiatan ini,positif
579,Acara ORMAWA kemarin seru sekali,positif
580,Sangat puas dengan kegiatan ini,positif
581,Acara ORMAWA kemarin seru sekali,positif
582,ORMAWA sangat inspiratif,positif
583,Kegiatan BEM sangat bermanfaat,positif
584,Program kerja BEM sangat bagus,positif
585,Acara kampus sangat terorganisir,positif
586,Acara kampus sangat terorganisir,positif
587,Panitia kegiatan sangat profesional,positif
588,Acara ORMAWA kemarin seru sekali,positif
589,UKM kampus sangat aktif,positif
590,Acara ORMAWA kemarin seru sekali,positif
591,Kegiatan BEM sangat bermanfaat,positif
592,Sangat puas dengan kegiatan ini,positif
593,Acara ORMAWA kemarin seru sekali,positif
594,UKM kampus sangat aktif,positif
595,Kegiatan ini menambah wawasan saya,positif
596,Acara kampus sangat terorganisir,positif
597,Acara kampus sangat terorganisir,positif
598,Acara kampus sangat terorganisir,positif
599,Program kerja BEM sangat bagus,positif
600,HIMA sangat membantu mahasiswa,positif
601,Kegiatan ini menambah wawasan saya,positif
602,UKM kampus sangat aktif,positif
603,UKM kampus sangat aktif,positif
604,HIMA sangat membantu mahasiswa,positif
605,Kegiatan BEM sangat bermanfaat,positif
606,Kegiatan ini menambah wawasan saya,positif
607,Acara kampus sangat terorganisir,positif
608,HIMA sangat membantu mahasiswa,positif
609,Kegiatan BEM sangat bermanfaat,positif
610,Kegiatan ini menambah wawasan saya,positif
611,Panitia kegiatan sangat profesional,positif
612,Acara kampus sangat terorganisir,positif
613,Acara ORMAWA kemarin seru sekali,positif
614,Program kerja BEM sangat bagus,positif
615,ORMAWA sangat inspiratif,positif
616,Program kerja BEM sangat bagus,positif
617,Panitia kegiatan sangat profesional,positif
618,Sangat puas dengan kegiatan ini,positif
619,Kegiatan ini menambah wawasan saya,positif
620,Panitia kegiatan sangat profesional,positif
621,Kegiatan BEM sangat bermanfaat,positif
622,Sangat puas dengan kegiatan ini,positif
623,ORMAWA sangat inspiratif,positif
624,ORMAWA sangat inspiratif,positif
625,Acara ORMAWA kemarin seru sekali,positif
626,Sangat puas dengan kegiatan ini,positif
627,Sangat puas dengan kegiatan ini,positif
628,ORMAWA sangat inspiratif,positif
629,Sangat puas dengan kegiatan ini,positif
630,Acara ORMAWA kemarin seru sekali,positif
631,ORMAWA sangat inspiratif,positif
632,ORMAWA sangat inspiratif,positif
633,Acara kampus sangat terorganisir,positif
634,ORMAWA sangat inspiratif,positif
635,Panitia kegiatan sangat profesional,positif
636,Acara ORMAWA kemarin seru sekali,positif
637,Acara ORMAWA kemarin seru sekali,positif
638,HIMA sangat membantu mahasiswa,positif
639,ORMAWA sangat inspiratif,positif
640,UKM kampus sangat aktif,positif
641,Kegiatan BEM sangat bermanfaat,positif
642,HIMA sangat membantu mahasiswa,positif
643,Sangat puas dengan kegiatan ini,positif
644,Acara kampus sangat terorganisir,positif
645,Sangat puas dengan kegiatan ini,positif
646,Kegiatan ini menambah wawasan saya,positif
647,Acara kampus sangat terorganisir,positif
648,Acara ORMAWA kemarin seru sekali,positif
649,Acara kampus sangat terorganisir,positif
650,HIMA sangat membantu mahasiswa,positif
651,Kegiatan ini menambah wawasan saya,positif
652,Kegiatan ini menambah wawasan saya,positif
653,Kegiatan ini menambah wawasan saya,positif
